SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
KEC, EQ, 18-Oct-2019,277.95,278.25,283.3,274.8,276.5,277.35,278.19,220568,613.6,7369, 133493, 60.52
KECL, EQ, 18-Oct-2019,7.9,7.95,8.25,7.75,8.1,8.05,8.05,32944,2.65,197, 20984, 63.70
KEI, EQ, 18-Oct-2019,543.15,542.0,549.8,536.15,545.0,544.85,545.1,115907,631.81,8153, 85138, 73.45
KELLTONTEC, EQ, 18-Oct-2019,15.25,15.5,16.0,15.3,16.0,15.95,15.75,174666,27.51,388, 88593, 50.72
KENNAMET, EQ, 18-Oct-2019,1111.4,1112.0,1112.0,1064.35,1072.55,1083.6,1092.48,1189,12.99,274, 632, 53.15
KESARENT, EQ, 18-Oct-2019,31.3,29.5,34.2,29.5,30.1,30.2,30.23,13419,4.06,51, 10036, 74.79
KESORAMIND, EQ, 18-Oct-2019,56.0,56.3,56.35,54.05,54.95,54.7,54.86,305932,167.83,2745, 144655, 47.28
KHADIM, EQ, 18-Oct-2019,249.7,247.0,250.65,240.0,243.0,242.8,243.81,29580,72.12,1824, 14298, 48.34
KICL, EQ, 18-Oct-2019,1616.05,1692.95,1692.95,1610.1,1641.0,1643.0,1635.19,822,13.44,145, 427, 51.95
KILITCH, EQ, 18-Oct-2019,118.8,118.85,122.0,118.85,120.9,120.2,120.27,5934,7.14,364, 2775, 46.76
KINGFA, EQ, 18-Oct-2019,621.65,625.0,635.0,621.1,632.9,623.55,622.94,10503,65.43,107, 10063, 95.81
KIOCL, EQ, 18-Oct-2019,117.6,119.75,122.2,118.1,118.15,118.8,120.26,21989,26.44,417, 13302, 60.49
KIRIINDUS, EQ, 18-Oct-2019,428.55,429.9,438.8,423.75,426.25,426.8,431.25,90578,390.61,5881, 43081, 47.56
KIRLOSBROS, EQ, 18-Oct-2019,142.55,141.45,156.85,141.1,155.0,155.0,152.4,31573,48.12,859, 27150, 85.99
KIRLOSENG, EQ, 18-Oct-2019,175.4,176.55,181.8,173.55,175.35,177.7,176.66,9914,17.51,844, 4456, 44.95
KIRLOSIND, EQ, 18-Oct-2019,660.45,655.5,670.0,655.5,670.0,668.2,664.06,2309,15.33,206, 2078, 90.00
KITEX, EQ, 18-Oct-2019,86.65,86.65,88.4,86.0,87.2,86.9,86.97,48916,42.54,544, 40865, 83.54
KKCL, EQ, 18-Oct-2019,990.0,990.0,1000.0,970.1,1000.0,1000.0,990.36,122,1.21,19, 109, 89.34
KMSUGAR, EQ, 18-Oct-2019,5.6,5.8,6.0,5.6,6.0,5.95,5.84,76064,4.44,205, 51313, 67.46
KNRCON, EQ, 18-Oct-2019,231.2,228.5,234.8,225.65,231.0,228.95,230.64,40939,94.42,2521, 19123, 46.71
KOKUYOCMLN, EQ, 18-Oct-2019,64.4,64.5,74.8,63.2,71.15,71.65,70.1,99809,69.96,1552, 62021, 62.14
KOLTEPATIL, EQ, 18-Oct-2019,247.15,248.85,258.8,245.45,252.0,251.9,251.59,85986,216.33,2605, 56658, 65.89
KOPRAN, EQ, 18-Oct-2019,25.4,25.45,27.3,25.45,26.2,26.1,26.24,43208,11.34,557, 25248, 58.43
KOTAKBANK, EQ, 18-Oct-2019,1604.55,1603.8,1619.6,1591.0,1616.0,1615.25,1606.72,2357607,37880.05,69717, 1201242, 50.95
KOTAKBKETF, EQ, 18-Oct-2019,297.32,295.2,299.3,295.2,297.12,297.68,297.75,41605,123.88,468, 17396, 41.81
KOTAKGOLD, EQ, 18-Oct-2019,341.0,347.8,347.8,340.1,340.95,340.75,341.94,22060,75.43,428, 15979, 72.43
KOTAKNIFTY, EQ, 18-Oct-2019,119.49,118.95,121.0,118.95,120.55,120.36,120.36,102418,123.27,372, 86130, 84.10
KOTAKNV20, EQ, 18-Oct-2019,57.09,57.35,58.8,57.0,58.0,57.99,57.91,15444,8.94,168, 11040, 71.48
KOTAKPSUBK, EQ, 18-Oct-2019,219.32,218.0,224.98,211.7,222.65,222.76,220.7,19771,43.63,240, 11741, 59.38
KOTARISUG, EQ, 18-Oct-2019,9.9,10.35,10.35,9.6,9.8,9.75,9.92,19712,1.96,87, 11869, 60.21
KOTHARIPET, EQ, 18-Oct-2019,16.0,16.2,16.9,16.05,16.65,16.45,16.35,6663,1.09,50, 5511, 82.71
KOTHARIPRO, EQ, 18-Oct-2019,65.75,73.0,73.4,64.0,66.0,66.55,69.76,90528,63.15,1399, 32894, 36.34
KPITTECH, EQ, 18-Oct-2019,97.1,97.45,98.55,96.0,97.0,97.1,96.96,247224,239.71,1938, 220881, 89.34
KPRMILL, EQ, 18-Oct-2019,564.5,574.8,611.0,574.8,604.0,605.55,599.45,99888,598.78,4631, 20540, 20.56
KRBL, EQ, 18-Oct-2019,201.55,201.95,222.0,201.95,222.0,216.8,210.83,137716,290.34,4299, 80254, 58.28
KREBSBIO, EQ, 18-Oct-2019,89.35,89.85,90.0,86.3,86.5,86.55,87.48,1691,1.48,26, 1011, 59.79
KRIDHANINF, EQ, 18-Oct-2019,6.3,6.25,6.45,6.0,6.05,6.05,6.11,86785,5.3,343, 70968, 81.77
KRISHANA, EQ, 18-Oct-2019,51.25,55.0,55.0,55.0,55.0,55.0,55.0,211,0.12,4, 211, 100.00
KSB, EQ, 18-Oct-2019,673.45,680.0,681.0,666.05,667.0,669.45,672.89,2916,19.62,342, 1684, 57.75
KSCL, EQ, 18-Oct-2019,471.7,472.05,504.8,472.05,500.7,493.45,487.88,280436,1368.19,6463, 213350, 76.08
KSK, EQ, 18-Oct-2019,0.45,0.4,0.45,0.4,0.45,0.45,0.45,426191,1.9,144, 313932, 73.66
KSL, EQ, 18-Oct-2019,185.5,185.7,189.05,185.0,185.5,185.35,186.64,21086,39.36,744, 11055, 52.43
KTIL, EQ, 18-Oct-2019,31.15,33.9,33.9,28.85,31.4,30.65,30.8,7142,2.2,137, 5133, 71.87
